PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Manny M Alexander S,CHC,108,264,34,60,10,1,5,25,18,66,4,1,.227,.278,.330,.608
Mike M Matheny,MIL,108,320,24,76,13,0,6,27,11,63,1,0,.238,.278,.334,.612
Matt M Walbeck,ANA,108,338,41,87,15,2,6,46,30,68,1,1,.257,.317,.367,.684
Lenny L Webster,BAL,108,309,37,88,16,0,10,46,15,38,0,0,.285,.317,.434,.751
Craig C Counsell,FLA,107,335,43,84,19,5,4,40,51,47,3,0,.251,.355,.373,.729
Brent B Gates,MIN,107,333,31,83,15,0,3,42,36,46,3,3,.249,.324,.321,.645
Tony T Batista,ARI,106,293,46,80,16,1,18,41,18,52,1,1,.273,.318,.519,.836
Mike M Kelly R,TB,106,279,39,67,11,2,10,33,22,80,13,6,.240,.295,.401,.696
Gregg G Zaun,FLA,106,298,19,56,12,2,5,29,35,52,5,2,.188,.274,.292,.566
Roger R Cedeno L,LA,105,240,33,58,11,1,2,17,27,57,8,2,.242,.317,.321,.638
Jose J Cruz C,TOR,105,352,55,89,14,3,11,42,57,99,11,4,.253,.354,.403,.757
Jim J Eisenreich,LA,105,191,21,41,3,2,1,13,16,36,6,0,.215,.275,.267,.542
Tony T Graffanino,ATL,105,289,32,61,14,1,5,22,24,68,1,4,.211,.275,.318,.594
Greg G Norton,CWS,105,299,38,71,17,2,9,36,26,77,3,3,.237,.301,.398,.699
Miguel M Tejada S,OAK,105,365,53,85,20,1,11,45,28,86,5,6,.233,.298,.384,.681
Harold H Baines D,BAL,104,293,40,88,17,0,9,57,32,40,0,0,.300,.369,.451,.819
John J Cangelosi,FLA,104,171,19,43,8,0,1,10,30,23,2,3,.251,.365,.316,.680
Matt M Luke L,LA,104,239,34,56,12,1,12,34,17,60,2,1,.234,.287,.444,.730
Kevin K Sefcik,PHI,104,169,27,53,7,2,3,20,25,32,4,2,.314,.421,.432,.853
Matt M Franco,NYM,103,161,20,44,7,2,1,13,23,26,0,1,.273,.366,.360,.726
Sean S Berry,HOU,102,299,48,94,17,1,13,52,31,50,3,1,.314,.387,.508,.896
Craig C Grebeck,TOR,102,301,33,77,17,2,2,27,29,42,2,2,.256,.327,.346,.673
Dave D Nilsson,MIL,102,309,39,83,14,1,12,56,33,48,2,2,.269,.339,.437,.776
Luis L Alicea,TEX,101,259,51,71,15,3,6,33,37,40,4,3,.274,.372,.425,.796
Dave D Hollins,ANA,101,363,60,88,16,2,11,39,44,69,11,3,.242,.334,.388,.723
Darryl D Strawberry,NYY,101,295,44,73,11,2,24,57,46,90,8,7,.247,.354,.542,.896
Bobby B Bonilla,LA,100,333,39,83,11,1,11,45,41,59,1,2,.249,.326,.387,.714
Brian B Johnson,SF,99,308,34,73,8,1,13,34,28,67,0,2,.237,.310,.396,.706
